name,address,city,province,country,time_zone,latitude,longitude,facebook_url,instagram_url,viber_contact,website_url,other_contact_info,amenities,courts,photo_urls
YB Pickleball Court,"Mohon, Talisay City (Near St. Peter Talisay)",Talisay City,Cebu,PH,,,,https://www.facebook.com/Yawn2Tv/,,,https://cebupickleballcourts.com/yb-pickleball-court/,,Parking,Court 1|pickleball|,"https://cebupickleballcourts.com/wp-content/uploads/YB-Pickleball-Courts-02.jpg,https://cebupickleballcourts.com/wp-content/uploads/YB-Pickleball-Courts-01.jpg,https://cebupickleballcourts.com/wp-content/uploads/YB-Pickleball-Courts-03.jpg"
J-Cob’s Cosina Bar & Sports Hub,"Gemelina St., Tayud, Liloan",Liloan,Cebu,PH,,,,https://www.facebook.com/JCobsSportsHub,,0954 446 4646,https://cebupickleballcourts.com/j-cobs-cosina-bar-sports-hub/,,Parking;Comfort Rooms (CR),Court 1|pickleball|;Court 2|pickleball|;Court 3|pickleball|,"https://cebupickleballcourts.com/wp-content/uploads/J-Cob-Cosina-Bar-and-Sports-Hub-Pickleball-Courts-01.jpg,https://cebupickleballcourts.com/wp-content/uploads/J-Cob-Cosina-Bar-and-Sports-Hub-Pickleball-Courts-03.jpg,https://cebupickleballcourts.com/wp-content/uploads/J-Cob-Cosina-Bar-and-Sports-Hub-Pickleball-Courts-02.jpg"
Match Point Liloan,"Catarman, Liloan, Cebu, Philippines",Liloan,Cebu,PH,,,,,https://www.instagram.com/matchpoint.cebu,0947 884 0746,https://cebupickleballcourts.com/match-point-liloan/,,Indoor;Paddle for Rent;Parking;Comfort Rooms (CR);Open Play Availability,Court 1|pickleball|;Court 2|pickleball|,"https://cebupickleballcourts.com/wp-content/uploads/Match-Point-Liloan-Pickleball-Courts-02.jpg,https://cebupickleballcourts.com/wp-content/uploads/Match-Point-Liloan-Pickleball-Courts-03.jpg,https://cebupickleballcourts.com/wp-content/uploads/Match-Point-Liloan-Pickleball-Courts-01.jpg"
Magnum Sports Complex,"8WM4+JW, San Miguel Rd, Apas, Cebu City, 6000 Cebu",Cebu City,Cebu,PH,,,,https://www.facebook.com/p/Magnum-Sports-Complex-61574882055158/,,0915 461 2097;273 0325;272 8269,https://cebupickleballcourts.com/magnum-sports-complex/,,Indoor;Paddle for Rent;Parking;CR (Restrooms);Locker Rooms,Court 1|pickleball|;Court 2|pickleball|;Court 3|pickleball|;Court 4|pickleball|;Court 5|pickleball|;Court 6|pickleball|;Court 7|pickleball|;Court 8|pickleball|;Court 9|pickleball|;Court 10|pickleball|,"https://cebupickleballcourts.com/wp-content/uploads/Magnum-Sports-Complex-Pickleball-Courts-03.jpg,https://cebupickleballcourts.com/wp-content/uploads/Magnum-Sports-Complex-Pickleball-Courts-01.jpg,https://cebupickleballcourts.com/wp-content/uploads/Magnum-Sports-Complex-Pickleball-Courts-02.jpg"
Kitchenline Pickleball,"8WFV+7V3, A. Soriano Ave",Mandaue,Cebu,PH,,,,https://www.facebook.com/kitchenlinepickleball/,,0945 882 1522,https://cebupickleballcourts.com/kitchenline-pickleball/,,Indoor;Parking;Restrooms;Locker Rooms;Paddle for Rent,Court 1|pickleball|;Court 2|pickleball|;Court 3|pickleball|;Court 4|pickleball|;Court 5|pickleball|;Court 6|pickleball|;Court 7|pickleball|,"https://cebupickleballcourts.com/wp-content/uploads/Kitchenline-Pickleball-Courts-02.jpg,https://cebupickleballcourts.com/wp-content/uploads/Kitchenline-Pickleball-Courts-03.jpg,https://cebupickleballcourts.com/wp-content/uploads/Kitchenline-Pickleball-Courts-01.jpg"
Pino Pickleball Court,Barangay San Jose Road,Cebu City,Cebu,PH,,,,https://www.facebook.com/profile.php?id=61558447342377,,0908 862 1743,https://cebupickleballcourts.com/pino-pickleball-court/,,Parking;Restrooms,Court 1|pickleball|;Court 2|pickleball|;Court 3|pickleball|;Court 4|pickleball|;Court 5|pickleball|;Court 6|pickleball|,"https://cebupickleballcourts.com/wp-content/uploads/Pino-Talamban-Pickleball-Courts-03.jpg,https://cebupickleballcourts.com/wp-content/uploads/Pino-Talamban-Pickleball-Courts-01.jpg,https://cebupickleballcourts.com/wp-content/uploads/Pino-Talamban-Pickleball-Courts-02.jpg"
DH Sports Hub,"DH Sports Hub, the Crossroads, Banilad Rd",Cebu City,Cebu,PH,,,,https://www.facebook.com/profile.php?id=61575038531465,https://www.instagram.com/dhsportshub/,0927 351 6367,https://cebupickleballcourts.com/dh-sports-hub/,,Parking;Restrooms,Court 1|pickleball|;Court 2|pickleball|,"https://cebupickleballcourts.com/wp-content/uploads/DH-Sports-Hub-Pickleball-Courts-03.jpg,https://cebupickleballcourts.com/wp-content/uploads/DH-Sports-Hub-Pickleball-Courts-01.jpg,https://cebupickleballcourts.com/wp-content/uploads/DH-Sports-Hub-Pickleball-Courts-02.jpg"
CitiLoft Pickleball,21a General Maxilom Ave,Cebu City,Cebu,PH,,,,https://www.facebook.com/CitiLoftOne/,,09542269782,https://cebupickleballcourts.com/citiloft-pickleball-cebu/,,Parking;CR (Restrooms);Open Play Availability,Court 1|pickleball|;Court 2|pickleball|,"https://cebupickleballcourts.com/wp-content/uploads/CitiLoft-Pickleball-Courts-02.jpg,https://cebupickleballcourts.com/wp-content/uploads/CitiLoft-Pickleball-Courts-01.jpg,https://cebupickleballcourts.com/wp-content/uploads/CitiLoft-Pickleball-Courts-03.jpg"
SweetSpot Pickleball Courts,"HVG IT Park, Mandaue",Mandaue City,Cebu,PH,,,,https://www.facebook.com/sweetspotpickleballcourts/,https://www.instagram.com/sweetspot_pickleballcourts,,https://cebupickleballcourts.com/sweetspot-pickleball-courts-cebu/,,Indoor;Parking;Restrooms;Paddle for Rent,Court 1|pickleball|;Court 2|pickleball|;Court 3|pickleball|;Court 4|pickleball|,"https://cebupickleballcourts.com/wp-content/uploads/SweetSpot-Pickleball-Courts-02.jpg,https://cebupickleballcourts.com/wp-content/uploads/SweetSpot-Pickleball-Courts-03.jpg,https://cebupickleballcourts.com/wp-content/uploads/SweetSpot-Pickleball-Courts-01.jpg"
HQ Pickleball Cebu,"8WF4+43F, Archbishop Reyes Ave",Cebu City,Cebu,PH,,,,https://www.facebook.com/HQ-Pickleball/61585259447279,https://www.instagram.com/hqpickleballcebu/,0917 701 9131;0945 378 2090,https://cebupickleballcourts.com/hq-pickleball-cebu/,,Open 24 hours;Paddle for Rent Availability;Parking;Restrooms,Court 1|pickleball|;Court 2|pickleball|;Court 3|pickleball|,"https://cebupickleballcourts.com/wp-content/uploads/HQ-Pickleball-Courts-01.jpg,https://cebupickleballcourts.com/wp-content/uploads/HQ-Pickleball-Courts-02.jpg,https://cebupickleballcourts.com/wp-content/uploads/HQ-Pickleball-Courts-03.jpg"
