name,address,city,province,country,time_zone,latitude,longitude,facebook_url,instagram_url,viber_contact,website_url,other_contact_info,amenities,courts,photo_urls
The Upper Deck Sports,"Pasig, Metro Manila, Philippines",CITY OF PASIG,METRO MANILA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/metro-manila/pasig/the-upper-deck-sports,Source: https://www.pickleheads.com/courts/ph/metro-manila/pasig/the-upper-deck-sports,,pickleball|,
The Riviera Sports And Country Club Inc,"Philippines, Calabarzon, Philippines",Philippines,Calabarzon,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/calabarzon/philippines/the-riviera-sports-and-country-club-inc,Source: https://www.pickleheads.com/courts/ph/calabarzon/philippines/the-riviera-sports-and-country-club-inc,,pickleball|,
Madras Sports Facility,"Paranaque, Metro Manila, Philippines",CITY OF PARAÑAQUE,METRO MANILA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/metro-manila/paranaque/madras-sports-facility,Source: https://www.pickleheads.com/courts/ph/metro-manila/paranaque/madras-sports-facility,,pickleball|,
Magnum Sports Complex,"Cebu City, Central Visayas, Philippines",CEBU CITY,CEBU,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/central-visayas/cebu-city/magnum-sports-complex,Source: https://www.pickleheads.com/courts/ph/central-visayas/cebu-city/magnum-sports-complex,,pickleball|,
Canonigo Sports And Recreation Center,"Manila, Metro Manila, Philippines",MANILA,METRO MANILA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/metro-manila/manila/canonigo-sports-and-recreation-center,Source: https://www.pickleheads.com/courts/ph/metro-manila/manila/canonigo-sports-and-recreation-center,,pickleball|,
Tito Vics Cafe And Sports Bar,"Bato, Eastern Visayas, Philippines",BATO,LEYTE,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/eastern-visayas/bato/tito-vics-cafe-and-sports-bar,Source: https://www.pickleheads.com/courts/ph/eastern-visayas/bato/tito-vics-cafe-and-sports-bar,,pickleball|,
South Cotabato Sports Complex,"Koronadal City, Soccsksargen, Philippines",KORONADAL CITY,SOUTH COTABATO,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/soccsksargen/koronadal-city/south-cotabato-sports-complex,Source: https://www.pickleheads.com/courts/ph/soccsksargen/koronadal-city/south-cotabato-sports-complex,,pickleball|,
Incredoball Sports And Development Center,"Dumaguete City, Negros Island Region, Philippines",DUMAGUETE CITY,NEGROS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/negros-island-region/dumaguete-city/incredoball-sports-and-development-center,Source: https://www.pickleheads.com/courts/ph/negros-island-region/dumaguete-city/incredoball-sports-and-development-center,,pickleball|,
Fpb Sports Complex,"Davao City, Davao Region, Philippines",DAVAO CITY,DAVAO DEL SUR,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/davao-region/davao-city/fpb-sports-complex,Source: https://www.pickleheads.com/courts/ph/davao-region/davao-city/fpb-sports-complex,,pickleball|,
Actifit Sports Complex,"Valenzuela, Metro Manila, Philippines",CITY OF VALENZUELA,METRO MANILA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/metro-manila/valenzuela/actifit-sports-complex,Source: https://www.pickleheads.com/courts/ph/metro-manila/valenzuela/actifit-sports-complex,,pickleball|,
Village Sports Club,"Las Pinas, Metro Manila, Philippines",CITY OF LAS PIÑAS,METRO MANILA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/metro-manila/las-pinas/village-sports-club,Source: https://www.pickleheads.com/courts/ph/metro-manila/las-pinas/village-sports-club,,pickleball|,
Sports Zone,"Cagayan De Oro, Northern Mindanao, Philippines",CAGAYAN DE ORO CITY,MISAMIS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/northern-mindanao/cagayan-de-oro/sports-zone,Source: https://www.pickleheads.com/courts/ph/northern-mindanao/cagayan-de-oro/sports-zone,,pickleball|,
Manaoag Sports Complex,"Manaoag, Ilocos Region, Philippines",MANAOAG,PANGASINAN,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/ilocos-region/manaoag/manaoag-sports-complex,Source: https://www.pickleheads.com/courts/ph/ilocos-region/manaoag/manaoag-sports-complex,,pickleball|,
Hemady Sports Plaza,"Quezon City, Metro Manila, Philippines",QUEZON CITY,METRO MANILA,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/metro-manila/quezon-city/hemady-sports-plaza,Source: https://www.pickleheads.com/courts/ph/metro-manila/quezon-city/hemady-sports-plaza,,pickleball|,
Southside Pickleball And Tennis Club,"Silang, Calabarzon, Philippines",SILANG,CAVITE,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/calabarzon/silang/southside-pickleball-and-tennis-club,Source: https://www.pickleheads.com/courts/ph/calabarzon/silang/southside-pickleball-and-tennis-club,,pickleball|,
Country Village Hotel,"Cagayan De Oro, Northern Mindanao, Philippines",CAGAYAN DE ORO CITY,MISAMIS ORIENTAL,PH,Asia/Manila,,,,,,https://www.pickleheads.com/courts/ph/northern-mindanao/cagayan-de-oro/country-village-hotel,Source: https://www.pickleheads.com/courts/ph/northern-mindanao/cagayan-de-oro/country-village-hotel,,pickleball|,
