name,address,city,province,country,time_zone,latitude,longitude,facebook_url,instagram_url,viber_contact,website_url,other_contact_info,amenities,courts,photo_urls
The Pickleball Center,"Former SMAXs Shopping Center Building, Poblacion Santa Maria Bulacan",Former SMAXs Shopping Center Building,Poblacion Santa Maria Bulacan,PH,Asia/Manila,,,,,09311291178,,Email: thepicklebalcenterph@gmail.com,,pickleball|,
The Vault - Muñoz,"Maharlika Highway, Bantug, Science City of Muñoz",Bantug,Science City of Muñoz,PH,Asia/Manila,,,,,09911040702,,Email: thevaultmunoz@gmail.com,,pickleball|,
QUIRNITA PICKLEPAD,Sibukaw Bingag Dauis Bohol,Sibukaw Bingag Dauis Bohol,Sibukaw Bingag Dauis Bohol,PH,Asia/Manila,,,,,09668695961,,Email: opadanemesia@gmail.com,,pickleball|,
Terra Courts,"San Fernando, Pampanga",San Fernando,Pampanga,PH,Asia/Manila,,,,,09668073599,,Email: terracourtsph@gmail.com,,pickleball|,
Angono Pickleball Club,"Richmond Subdivision, Virginia Ave, Angono, 1930 Rizal",Angono,1930 Rizal,PH,Asia/Manila,,,,,09263822970,,Email: angono.pickleballclub@gmail.com,,pickleball|,
STACK ROOM,"848 Quirino Highway Novaliches, QC",848 Quirino Highway Novaliches,QC,PH,Asia/Manila,,,,,09682539558,,Email: stackroomph@gmail.com,,pickleball|,
Main Square Mall Pickleball Club,"Main Square Filinvest Mall, 2F 102 Bacoor Blvd., Brgy. Bayanan, Bacoor City",Brgy. Bayanan,Bacoor City,PH,Asia/Manila,,,,,09228225586,,Email: pokemonyo@yahoo.com,,pickleball|,
Smash Zone - Marasbaras,"Tabuan National Highway, Marasbaras Tacloban City",Tabuan National Highway,Marasbaras Tacloban City,PH,Asia/Manila,,,,,09274584634,,Email: smashzone012@gmail.com,,pickleball|,
Smash Zone - Southside,"Tabuan National Highway, Marasbaras Tacloban City",Tabuan National Highway,Marasbaras Tacloban City,PH,Asia/Manila,,,,,09274584634,,Email: smashzone012southside@gmail.com,,pickleball|,
The Palm Court,"Dela Cruz Rd, Prk. Carig II, Brgy. Mankilam, Tagum City, Davao del Norte 8100",Tagum City,Davao del Norte 8100,PH,Asia/Manila,,,,,+63 917 710 2077,,Email: thepalmcourttagum@gmail.com,,pickleball|,
