name,address,city,province,country,time_zone,latitude,longitude,facebook_url,instagram_url,viber_contact,website_url,other_contact_info,amenities,courts,photo_urls
The Pickleball Center,"Former SMAXs Shopping Center Building, Poblacion, Santa Maria, Bulacan",SANTA MARIA,BULACAN,PH,Asia/Manila,,,,,09311291178,,,,pickleball|pickleball|,
The Vault - Muñoz,"Maharlika Highway, Bantug, Science City of Muñoz, Nueva Ecija",SCIENCE CITY OF MUÑOZ,NUEVA ECIJA,PH,Asia/Manila,,,,,09911040702,,,,pickleball|pickleball|,
QUIRNITA PICKLEPAD,"Sibukaw Bingag, Dauis, Bohol",DAUIS,BOHOL,PH,Asia/Manila,,,,,09668695961,,,,pickleball|pickleball|,
Terra Courts,"San Fernando, Pampanga",SAN FERNANDO CITY,PAMPANGA,PH,Asia/Manila,,,,,09668073599,,,,pickleball|pickleball|,
Angono Pickleball Club,"Richmond Subdivision, Virginia Ave, Angono, Rizal 1930",ANGONO,RIZAL,PH,Asia/Manila,,,,,09263822970,,,,pickleball|pickleball|,
STACK ROOM,"848 Quirino Highway, Novaliches, Quezon City, Metro Manila",QUEZON CITY,METRO MANILA,PH,Asia/Manila,,,,,09682539558,,,,pickleball|pickleball|,
Main Square Mall Pickleball Club,"Main Square Filinvest Mall, 2F 102 Bacoor Blvd., Brgy. Bayanan, Bacoor City, Cavite",BACOOR CITY,CAVITE,PH,Asia/Manila,,,,,09228225586,,,,pickleball|pickleball|,
Smash Zone - Marasbaras,"Tabuan National Highway, Marasbaras, Tacloban City, Leyte",TACLOBAN CITY,LEYTE,PH,Asia/Manila,,,,,09274584634,,,,pickleball|pickleball|,
Smash Zone - Southside,"Tabuan National Highway, Marasbaras, Tacloban City, Leyte",TACLOBAN CITY,LEYTE,PH,Asia/Manila,,,,,09274584634,,,,pickleball|pickleball|,
The Palm Court,"Dela Cruz Rd, Prk. Carig II, Brgy. Mankilam, Tagum City, Davao del Norte 8100",CITY OF TAGUM,DAVAO (DAVAO DEL NORTE),PH,Asia/Manila,,,,,+63 917 710 2077,,,,pickleball|pickleball|,
KTF Gym & Pickleball Club,"GF Emraud Square Plaza, L. Sumulong Memorial Circle, Brgy. Dalig, Antipolo City, Rizal",CITY OF ANTIPOLO,RIZAL,PH,Asia/Manila,,,,,09959349175,,,,pickleball|pickleball|,
Urban Rally,"Field of Dreams, Begonia Street, Elvinda Village, San Pedro, Laguna 4023",SAN PEDRO CITY,LAGUNA,PH,Asia/Manila,,,,,09171320710,,,,pickleball|pickleball|,
Pickle Park by Events Place Hermosas,"51 Mataywanak, Kabitul's, Calle Pogi, Tuy, Batangas 4214",TUY,BATANGAS,PH,Asia/Manila,,,,,+63 956 192 4668,,,,pickleball|pickleball|,
Match Point Sports Center and Cafe Cebu,"Jugan, Consolacion, Cebu",CONSOLACION,CEBU,PH,Asia/Manila,,,,,,,,,pickleball|pickleball|,
Kingcourts Pickleball Inc.,"Warehouse #2 TSB Warehouse, Lot 133-A, Barangay Panipuan, City of San Fernando, Pampanga",SAN FERNANDO CITY,PAMPANGA,PH,Asia/Manila,,,,,09985136969,,,,pickleball|pickleball|,
